X,Y,FID,Location,Date,Work_Order
-8473298.45999144,5322073.26794103,151,"144 Clifton Pl, Syracuse, New York, 13206",2021/09/23 00:00:00+00,Main Break/Leak
-8477876.7908441,5323677.09051414,152,"105 Pennsylvania Ave, Syracuse, New York, 13208",2021/09/24 00:00:00+00,Main Break/Leak
-8474993.17058447,5318552.29566107,153,"703 Walnut Ave, Syracuse, New York, 13210",2021/09/26 00:00:00+00,Main Break/Leak
-8471441.73495226,5322846.15012927,154,219 Lamson St.,2021/09/28 00:00:00+00,Main Break/Leak
-8480821.05841207,5319788.02994806,155,405 N. Lowell Ave,2021/10/04 00:00:00+00,Main Break/Leak
-8476926.1672521,5315528.37867079,156,171 Fage Ave,2021/10/05 00:00:00+00,Main Break/Leak
-8477423.49720183,5322413.83773189,157,615 Kirkpatrick St.,2021/10/07 00:00:00+00,Main Break/Leak
-8473059.70062109,5322398.2565606,158,Grant Blvd & James St.,2021/10/12 00:00:00+00,Main Break/Leak
-8472934.92451633,5316069.44653364,159,1412 Westmoreland Ave,2021/11/01 00:00:00+00,Main Break/Leak
-8472809.84615507,5316383.33364862,160,915 Cumberland Ave,2021/11/05 00:00:00+00,Main Break/Leak
-8473052.50324524,5319327.76399988,161,"2005-2121 E. Fayette St, Syracuse, New York, 13224",2021/11/05 00:00:00+00,Main Break/Leak
-8480872.87650962,5320137.98719264,162,"W Fayette St & School St, Syracuse, New York, 13204",2021/11/05 00:00:00+00,Main Break/Leak
-8471579.10733392,5319021.70573352,163,"114 Gorland Ave,  Syracuse,  New York,  13224",2021/11/07 00:00:00+00,Main Break/Leak
-8470308.37741846,5318660.74084705,164,225 De Forest Rd,2021/11/09 00:00:00+00,Main Break/Leak
-8474679.89323995,5314610.59223838,165,"933 Jamesville Ave, Syracuse, New York, 13210",2021/11/11 00:00:00+00,Main Break/Leak
-8477468.20323377,5319203.28291231,166,238 W. Jefferson St.,2021/11/12 00:00:00+00,Main Break/Leak
